fecha,producto,categoria,cantidad,precio_unitario,total
2026-07-06,Arroz Diana 500g,Granos,3,2500,7500
2026-07-06,Gaseosa Postobón 1.5L,Bebidas,4,4500,18000
2026-07-07,Panela cuadrada x 500g,Endulzantes,6,2800,16800
2026-07-08,Aceite Premier 1L,Abarrotes,2,8600,17200
2026-07-09,Arroz Diana 500g,Granos,5,2500,12500
2026-07-10,Café Águila Roja 500g,Abarrotes,2,12000,24000
2026-07-11,Huevos AA x30,Lácteos,1,16500,16500
2026-07-12,Panela cuadrada x 500g,Endulzantes,8,2800,22400
2026-07-13,Arroz Diana 500g,Granos,4,2500,10000
2026-07-14,Aceite Premier 1L,Abarrotes,1,8600,8600
2026-07-15,Gaseosa Postobón 1.5L,Bebidas,6,4500,27000
2026-07-16,Arroz Diana 500g,Granos,6,2500,15000
2026-07-17,Café Águila Roja 500g,Abarrotes,1,12000,12000
2026-07-18,Panela cuadrada x 500g,Endulzantes,5,2800,14000
2026-07-19,Aceite Premier 1L,Abarrotes,2,8600,17200
2026-07-20,Arroz Diana 500g,Granos,4,2500,10000
2026-07-20,Huevos AA x30,Lácteos,2,16500,33000
