fecha,producto,categoria,cantidad,precio_unitario,total
2026-02-01,Arroz Diana 500g,Granos,4,2500,10000
2026-02-01,Gaseosa Postobón 1.5L,Bebidas,3,5500,16500
2026-02-03,Panela Cuadrada 500g,Endulzantes,5,2800,14000
2026-02-05,Aceite Premier 1L,Abarrotes,2,12500,25000
2026-02-07,Café Águila Roja 250g,Abarrotes,1,15000,15000
2026-02-07,Arroz Diana 500g,Granos,3,2500,7500
2026-02-08,Huevos AA x30,Lácteos,2,18000,36000
2026-02-10,Gaseosa Postobón 1.5L,Bebidas,4,5500,22000
2026-02-10,Panela Cuadrada 500g,Endulzantes,6,2800,16800
2026-02-13,Arroz Diana 500g,Granos,2,2500,5000
2026-02-15,Aceite Premier 1L,Abarrotes,1,12500,12500
2026-02-15,Café Águila Roja 250g,Abarrotes,2,15000,30000
2026-02-17,Huevos AA x30,Lácteos,1,18000,18000
2026-02-19,Gaseosa Postobón 1.5L,Bebidas,5,5500,27500
2026-02-21,Panela Cuadrada 500g,Endulzantes,4,2800,11200
2026-02-21,Arroz Diana 500g,Granos,5,2500,12500
2026-02-22,Aceite Premier 1L,Abarrotes,2,12500,25000
2026-02-24,Café Águila Roja 250g,Abarrotes,1,15000,15000
2026-02-26,Huevos AA x30,Lácteos,2,18000,36000
2026-02-28,Arroz Diana 500g,Granos,3,2500,7500
2026-02-28,Gaseosa Postobón 1.5L,Bebidas,6,5500,33000
