FECHA,PRODUCTO,CATEGORIA,CANT,PRECIO,TOTAL
2026-03-01,Leche Alqueria 1L,Lacteos,6,4200,25200
2026-03-01,Panela Cuadrada 500g,Endulzantes,3,2800,8400
2026-03-03,Arroz Diana 500g,Granos,4,2500,10000
2026-03-05,Azucar Manuelita 1kg,Granos,5,3800,19000
2026-03-07,Cerveza Aguila 330ml,Bebidas,8,2500,20000
2026-03-07,Aceite Premier 1L,Abarrotes,1,12500,12500
2026-03-08,Leche Alqueria 1L,Lacteos,4,4200,16800
2026-03-10,Jabon Rey 300g,Aseo,3,2400,7200
2026-03-10,Atun Van Camps 170g,Enlatados,2,5000,10000
2026-03-13,Arroz Diana 500g,Granos,5,2500,12500
2026-03-15,Papel Higienico Familia x6,Aseo,2,10000,20000
2026-03-15,Salchichas Zenu 250g,Embutidos,1,7500,7500
2026-03-17,Cafe Aguila Roja 250g,Abarrotes,1,15000,15000
2026-03-19,Yogurt Alpina 1L,Lacteos,3,8500,25500
2026-03-21,Cerveza Aguila 330ml,Bebidas,12,2500,30000
2026-03-21,Huevos AA x30,Lacteos,2,18000,36000
2026-03-22,Leche Alqueria 1L,Lacteos,5,4200,21000
2026-03-24,Gaseosa Postobon 1.5L,Bebidas,4,5500,22000
2026-03-26,Arroz Diana 500g,Granos,3,2500,7500
2026-03-28,Jabon Rey 300g,Aseo,2,2400,4800
2026-03-28,Atun Van Camps 170g,Enlatados,3,5000,15000
2026-03-29,Papel Higienico Familia x6,Aseo,1,10000,10000
2026-03-29,Salchichas Zenu 250g,Embutidos,1,7500,7500
2026-03-31,Azucar Manuelita 1kg,Granos,6,3800,22800
2026-03-31,Panela Cuadrada 500g,Endulzantes,7,2800,19600
