Fecha Venta;Nombre Producto;Clase;Unidades;Precio Unitario;Valor Total
01/05/2026;Arroz Diana 500g;Granos;3;2.500,00;7.500,00
01/05/2026;Leche Alqueria 1L;Lacteos;4;4.200,00;16.800,00
03/05/2026;Aceite Premier 1L;Abarrotes;1;12.500,00;12.500,00
05/05/2026;Cafe Aguila Roja 250g;Abarrotes;2;15.000,00;30.000,00
07/05/2026;Panela Cuadrada 500g;Endulzantes;5;2.800,00;14.000,00
09/05/2026;Gaseosa Postobon 1.5L;Bebidas;6;5.500,00;33.000,00
09/05/2026;Huevos AA x30;Lacteos;1;18.000,00;18.000,00
11/05/2026;Arroz Diana 500g;Granos;4;2.500,00;10.000,00
13/05/2026;Gaseosa Cocacola 1.5L;Bebidas;5;6.000,00;30.000,00
15/05/2026;Azucar Manuelita 1kg;Granos;3;3.800,00;11.400,00
15/05/2026;Jugo Hit 1L;Bebidas;4;3.800,00;15.200,00
17/05/2026;Cerveza Aguila 330ml;Bebidas;10;2.500,00;25.000,00
19/05/2026;Aceite Premier 1L;Abarrotes;2;12.500,00;25.000,00
21/05/2026;Panela Cuadrada 500g;Endulzantes;6;2.800,00;16.800,00
23/05/2026;Cafe Aguila Roja 250g;Abarrotes;1;15.000,00;15.000,00
23/05/2026;Agua Cielo 600ml;Bebidas;8;1.800,00;14.400,00
25/05/2026;Arroz Diana 500g;Granos;5;2.500,00;12.500,00
27/05/2026;Gaseosa Postobon 1.5L;Bebidas;4;5.500,00;22.000,00
27/05/2026;Leche Alqueria 1L;Lacteos;3;4.200,00;12.600,00
29/05/2026;Huevos AA x30;Lacteos;2;18.000,00;36.000,00
29/05/2026;Papel Higienico Familia x6;Aseo;1;10.000,00;10.000,00
31/05/2026;Jabon Rey 300g;Aseo;2;2.400,00;4.800,00
31/05/2026;Atun Van Camps 170g;Enlatados;3;5.000,00;15.000,00
