fecha,producto,categoria,cantidad,precio_unitario,total
2026-07-01,Arroz Diana 500g,Granos,3,2500,7500
2026-07-01,Gaseosa Postobón 1.5L,Bebidas,2,4500,9000
2026-07-02,Leche Alquería 1L,Lácteos,5,3800,19000
2026-07-02,Pan Bimbo tajado,Panadería,1,6200,6200
2026-07-03,Aceite Gourmet 1L,Abarrotes,2,9500,19000
2026-07-03,Huevos AA x30,Lácteos,1,15000,15000
2026-07-04,Café Águila Roja 500g,Abarrotes,1,11800,11800
2026-07-04,Azúcar Manuelita 1kg,Granos,4,3200,12800
2026-07-05,Cerveza Águila 330ml,Bebidas,6,2200,13200
2026-07-05,Jabón Rey 300g,Aseo,3,2100,6300
2026-07-06,Papel Higiénico Familia x6,Aseo,2,8900,17800
2026-07-06,Chocolate Jet,Snacks,10,900,9000
2026-07-07,Atún Van Camps,Enlatados,3,4700,14100
2026-07-07,Yogurt Alpina 1L,Lácteos,2,7200,14400
2026-07-08,Salchichas Zenú,Embutidos,2,6800,13600
